Famiglia e Tipo,ID Elemento,Categoria,Verifica,Stato
Pavimento: Latero Cementizio - 30 cm,137241,Pavimenti,Verificato,1
Pavimento: Latero Cementizio - 30 cm,137271,Pavimenti,Verificato,1
Pavimento: Latero Cementizio - 30 cm,137285,Pavimenti,Verificato,1
Pavimento: Latero Cementizio - 30 cm,137299,Pavimenti,Verificato,1
Pavimento: Latero Cementizio - 30 cm,137315,Pavimenti,Verificato,1
Pilastro in calcestruzzo - Rettangolare: 30x30 cm,137383,Pilastri strutturali,Verificato,1
Pilastro in calcestruzzo - Rettangolare: 30x30 cm,137420,Pilastri strutturali,Verificato,1
Pilastro in calcestruzzo - Rettangolare: 30x30 cm,137429,Pilastri strutturali,Troppo Alto,0
Pilastro in calcestruzzo - Rettangolare: 30x30 cm,137440,Pilastri strutturali,Verificato,1
Unità ventilconvettore: 1219 mm,138072,Attrezzatura meccanica,Verificato,1
Unità ventilconvettore: 1219 mm,138093,Attrezzatura meccanica,Troppo Basso,0
Unità ventilconvettore: 1219 mm,138108,Attrezzatura meccanica,Verificato,1
Unità ventilconvettore: 1219 mm,138123,Attrezzatura meccanica,Verificato,1
Tubazione: Default,157464,Tubazioni,Troppo Alto,0
Tubazione: Default,157465,Linea d'asse,Troppo Alto,0
Tubazione: Default,157509,Tubazioni,Troppo Alto,0
Tubazione: Default,157510,Linea d'asse,Troppo Alto,0
M_Curvatura - PVC - Sch 40 - DWV: Standard,157520,Raccordi tubazione,Troppo Alto,0
M_Curvatura - PVC - Sch 40 - DWV: Standard,157521,Linea d'asse,Troppo Alto,0
Tubazione: Default,157522,Tubazioni,Verificato,1
Tubazione: Default,157523,Linea d'asse,Verificato,1
M_Curvatura - PVC - Sch 40 - DWV: Standard,157534,Raccordi tubazione,Troppo Alto,0
M_Curvatura - PVC - Sch 40 - DWV: Standard,157535,Linea d'asse,Troppo Alto,0
Tubazione: Default,157536,Tubazioni,Troppo Alto,0
Tubazione: Default,157537,Linea d'asse,Troppo Alto,0
M_Curvatura - PVC - Sch 40 - DWV: Standard,157549,Raccordi tubazione,Troppo Alto,0
M_Curvatura - PVC - Sch 40 - DWV: Standard,157550,Linea d'asse,Troppo Alto,0
Tubazione: Default,157552,Tubazioni,Troppo Alto,0
Tubazione: Default,157553,Linea d'asse,Troppo Alto,0
M_Curvatura - PVC - Sch 40 - DWV: Standard,157563,Raccordi tubazione,Troppo Alto,0
M_Curvatura - PVC - Sch 40 - DWV: Standard,157564,Linea d'asse,Troppo Alto,0
Tubazione: Default,157624,Tubazioni,Troppo Basso,0
Tubazione: Default,157625,Linea d'asse,Troppo Basso,0
